price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
174.900 kr.;2020;37000;2020-01-16;Benzin;23.9;95;M
189.900 kr.;2020;7000;2019-10-14;Benzin;22.9;95;A
344.900 kr.;2022;9500;2022-04-29;Benzin;17.5;207;A
99.900 kr.;2010;23000;2010-03-25;Benzin;18.2;70;M
214.700 kr.;2019;26000;2019-08-13;Benzin;22.9;115;A
129.900 kr.;2016;95000;2016-06-16;Benzin;24.4;95;M
129.500 kr.;2017;66000;2016-11-03;Benzin;24.4;95;M
229.900 kr.;2019;48000;2019-07-01;Benzin;23.4;115;M
279.900 kr.;2020;44000;2020-02-19;Benzin;18;200;A
199.900 kr.;2019;68000;2019-07-16;Benzin;23.4;95;A
209.900 kr.;2019;35000;2019-01-30;Benzin;22.9;115;A
171.900 kr.;2017;141000;2016-09-22;Benzin;21.3;150;A
249.900 kr.;2018;91000;2018-06-14;Benzin;16.9;200;A
149.900 kr.;2016;52000;2015-09-04;Benzin;21.3;90;A
189.900 kr.;2020;29000;2020-09-22;Benzin;23.9;95;M
229.900 kr.;2022;2000;2021-12-21;Benzin;23.3;95;M
159.999 kr.;2017;92000;2016-07-13;Benzin;21.3;90;A
124.500 kr.;2017;82000;2016-12-27;Benzin;24.4;95;M
129.800 kr.;2015;101000;2015-03-03;Benzin;20.8;110;M
289.900 kr.;2018;35000;2018-09-12;Benzin;16.9;200;A
289.700 kr.;2022;15000;2021-09-28;Benzin;20.9;110;A
184.400 kr.;2019;66000;2019-11-18;Benzin;21.7;95;A
209.900 kr.;2021;8000;2020-12-17;Benzin;23.4;95;A
44.990 kr.;2010;278000;2010-05-11;Diesel;27;90;M
154.500 kr.;2016;86000;2016-04-28;Benzin;23.8;95;A
129.500 kr.;2017;107000;2017-02-20;Diesel;27;90;M
174.800 kr.;2018;85000;2017-12-28;Benzin;21.7;115;M
349.900 kr.;2022;5000;2022-04-26;Benzin;17.5;207;A
234.800 kr.;2021;7000;2021-06-30;Benzin;21.2;110;A
194.700 kr.;2020;24000;2020-08-31;Benzin;23.9;95;M
359.800 kr.;2022;7000;2022-04-29;Benzin;17.5;207;A
249.990 kr.;2018;108000;2018-07-23;Benzin;16.9;200;A
189.900 kr.;2021;28000;2021-06-28;Benzin;22.8;95;M
239.900 kr.;2021;17000;2021-01-01;Benzin;21.6;150;A
219.800 kr.;2021;17000;2021-06-28;Benzin;21.6;95;A
259.900 kr.;2020;62000;2020-02-26;Benzin;19;200;A
199.900 kr.;2020;39000;2020-01-28;Benzin;23.4;95;A
269.700 kr.;2020;31000;2020-11-04;Benzin;18;200;A
189.900 kr.;2018;37000;2018-07-20;Benzin;21.7;95;A
239.900 kr.;2022;10000;2021-12-08;Benzin;22;95;A
139.900 kr.;2018;84000;2017-11-24;Benzin;20.8;65;M
174.900 kr.;2019;45000;2019-03-29;Benzin;23.9;95;M
199.900 kr.;2020;32000;2020-07-01;Benzin;23.4;95;A
36.900 kr.;2007;182000;2007-02-07;Benzin;15.5;80;M
99.999 kr.;2013;153500;2013-04-25;Benzin;19.6;90;M
224.900 kr.;2022;14000;2021-11-25;Benzin;23.3;95;M
184.900 kr.;2017;85000;2017-04-05;Benzin;21.3;150;A
269.800 kr.;2022;8000;2022-04-29;Benzin;21.6;95;A
274.800 kr.;2022;5000;2022-04-29;Benzin;21.6;95;A
229.800 kr.;2021;17000;2021-05-26;Benzin;21.6;95;A
129.800 kr.;2016;55000;2016-01-22;Benzin;24.4;95;M
205.950 kr.;2019;39000;2019-05-28;Benzin;23.4;95;A
258.700 kr.;2018;72000;2018-02-12;Benzin;16.9;200;A
159.800 kr.;2018;35000;2018-05-28;Benzin;20.8;65;M
127.500 kr.;2015;88000;2014-11-26;Benzin;20.8;110;M
229.900 kr.;2020;41000;2020-10-30;Benzin;23.4;115;A
348.900 kr.;2022;2000;2022-10-18;Benzin;17.5;207;A
234.900 kr.;2019;40000;2019-02-19;Benzin;22.9;115;A
245.000 kr.;2018;110000;2018-08-03;Benzin;16.9;200;A
259.000 kr.;2022;11000;2022-04-27;Benzin;21.6;95;A
149.900 kr.;2017;90000;2016-08-30;Benzin;21.3;90;A
35.900 kr.;2008;202000;2008-10-16;Benzin;17.2;60;M
189.900 kr.;2018;33916;2018-02-01;Benzin;21.7;115;M
