price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
669.900 kr.;2022;10000;2022-04-13;Diesel;24.2;200;A
654.900 kr.;2022;2000;2022-03-08;Plug-in hybrid Benzin;40.6;313;A
554.900 kr.;2017;25000;2018-04-18;Benzin;14.9;245;A
589.800 kr.;2022;8000;2021-09-14;Diesel;26.9;200;A
359.900 kr.;2017;55000;2018-05-18;Benzin;16.9;184;A
317.000 kr.;2017;117000;2018-01-10;Diesel;22.7;170;A
339.900 kr.;2018;155000;2018-07-02;Diesel;21.3;170;A
464.900 kr.;2020;37000;2020-12-15;Plug-in hybrid Diesel;32.2;306;A
339.900 kr.;2019;116000;2019-06-27;Diesel;23.9;194;A
424.950 kr.;2017;85000;2017-08-04;Benzin;12.2;510;A
539.900 kr.;2022;11000;2022-01-28;Diesel;26.9;200;A
579.900 kr.;2022;13000;2021-06-17;Diesel;25.7;200;A
589.900 kr.;2022;10000;2021-09-23;Diesel;26.9;200;A
654.900 kr.;2022;33000;2022-02-14;Plug-in hybrid Benzin;40.6;313;A
889.900 kr.;2016;108000;2016-09-28;Benzin;12.2;510;A
189.900 kr.;2014;209000;2014-11-11;Diesel;22.2;170;A
409.900 kr.;2018;79000;2019-01-21;Benzin;15.6;184;A
310.000 kr.;2015;76000;2015-02-13;Benzin;18.9;184;A
479.900 kr.;2020;60000;2020-12-14;Plug-in hybrid Diesel;32.2;306;A
614.900 kr.;2022;4000;2022-02-16;Plug-in hybrid Benzin;40.6;313;A
609.800 kr.;2022;12000;2022-03-11;Diesel;23.3;265;A
589.900 kr.;2022;20000;2021-09-23;Diesel;25.7;200;A
609.900 kr.;2022;10000;2022-03-24;Diesel;23.3;265;A
464.900 kr.;2021;47000;2021-06-04;Diesel;22.8;194;A
610.100 kr.;2022;11000;2022-03-16;Diesel;23.3;265;A
609.900 kr.;2022;6000;2022-03-23;Diesel;23.3;265;A
599.900 kr.;2022;12000;2022-03-11;Diesel;23.3;265;A
949.800 kr.;2022;8000;2022-03-22;Benzin;15.9;258;A
274.700 kr.;2016;223000;2016-01-22;Diesel;21.3;170;A
399.900 kr.;2019;100000;2019-07-08;Diesel;22.9;194;A
359.900 kr.;2018;70000;2018-01-12;Benzin;16.9;184;A
699.900 kr.;2022;6000;2022-04-22;Benzin;18.1;258;A
339.800 kr.;2015;122000;2016-12-05;Diesel;21.3;170;A
609.900 kr.;2022;14000;2021-11-01;Diesel;23.3;265;A
