price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
494.000 kr.;2022;13800;2022-03-01;El;65.3;514;A;7430
494.000 kr.;2022;13400;2022-03-01;El;65.3;514;A;7430
499.000 kr.;2022;8300;2022-03-01;El;65.3;514;A;7430
478.000 kr.;2022;18000;2022-03-01;El;65.3;514;A;7430
489.000 kr.;2022;9100;2022-03-30;El;65.3;514;A;7430
499.900 kr.;2022;8000;2022-03-29;El;65.3;514;A;6800
549.800 kr.;2022;7000;2022-02-07;El;65.3;514;A;9440
512.000 kr.;2022;13000;2022-02-01;El;65.3;384;A;6710
544.800 kr.;2021;12000;2021-09-08;El;65.3;514;A;9440
572.995 kr.;2022;8000;2022-08-05;El;64.6;534;A;2765
489.995 kr.;2022;7000;2022-09-16;El;62.5;514;A;2765
539.800 kr.;2021;22000;2021-09-09;El;65.3;514;A;9440
539.800 kr.;2021;11000;2021-11-04;El;65.3;514;A;9440
499.900 kr.;2021;13000;2021-12-08;El;65.3;514;A;5250
482.900 kr.;2022;12000;2022-02-25;El;65.3;514;A;7200
529.900 kr.;2022;8560;2022-03-21;El;65.3;514;A;2670
650.000 kr.;2022;300;2022-09-28;El;64.6;534;A;2730
469.900 kr.;2021;32000;2021-09-20;El;65.3;514;A;8250
479.995 kr.;2022;10000;2022-08-29;El;62.5;514;A;2765
479.995 kr.;2022;16000;2022-03-08;El;62.5;514;A;2765
459.995 kr.;2021;12000;2021-11-03;El;65.3;514;A;2765
599.800 kr.;2022;55;2022-09-22;El;62.5;514;A;6710
549.900 kr.;2022;48;2022-09-19;El;62.5;514;A;6710
499.000 kr.;2021;38000;2021-08-01;El;65.3;441;A;2920
499.900 kr.;2021;13000;2021-11-12;El;65.3;514;A;8600
539.800 kr.;2022;12000;2022-03-08;El;65.3;514;A;6670
499.000 kr.;2022;10000;2022-08-01;El;62.5;514;A;8520
495.000 kr.;2022;10760;2022-02-17;El;65.3;384;A;9000
509.900 kr.;2022;16000;2022-03-14;El;65.3;514;A;8930
470.000 kr.;2022;24000;2022-03-08;El;65.3;514;A;8361
550.000 kr.;2021;45000;2021-08-27;El;65.3;514;A;9200
498.900 kr.;2022;9000;2022-03-01;El;65.3;514;A;6400
499.900 kr.;2021;11000;2021-11-12;El;65.3;514;A;8600
509.900 kr.;2022;15000;2022-02-17;El;65.3;384;A;8920
460.000 kr.;2021;28000;2021-09-01;El;65.3;514;A;8270
515.000 kr.;2022;7000;2022-03-01;El;62.5;514;A;6630
509.900 kr.;2022;8500;2022-03-09;El;65.3;514;A;5250
514.900 kr.;2022;11700;2022-02-08;El;62.5;514;A;7200
479.800 kr.;2021;14000;2021-08-19;El;65.3;514;A;8620
