price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
134.800 kr.;2017;119000;2017-03-15;Diesel;27;90;M;7700
265.000 kr.;2022;6000;2022-05-06;Benzin;21.6;95;A;9900
117.900 kr.;2015;81000;2015-06-09;Benzin;21.3;90;M;6000
149.000 kr.;2016;118000;2016-01-19;Benzin;20.8;150;M;6780
69.900 kr.;2009;121000;2009-08-14;Benzin;16.9;85;M;4000
269.900 kr.;2019;41000;2019-10-03;Benzin;18;200;A;6705
219.900 kr.;2021;32000;2020-12-15;Benzin;23.4;110;A;7160
259.900 kr.;2020;30000;2019-09-27;Benzin;19;200;A;2610
174.900 kr.;2020;40000;2020-02-17;Benzin;23.9;95;M;7160
104.900 kr.;2016;137000;2015-09-25;Benzin;24.4;95;M;4733
19.000 kr.;2005;205000;2005-05-18;Benzin;15.5;75;M;3650
224.900 kr.;2022;11000;2021-11-25;Benzin;23.3;95;M;7100
269.900 kr.;2022;10000;2022-10-24;Benzin;21.6;110;A;2600
269.900 kr.;2022;10000;2022-10-24;Benzin;21.6;110;A;2600
204.500 kr.;2021;19485;2020-11-12;Benzin;22.8;95;M;8700
210.000 kr.;2021;7000;2021-08-25;Benzin;22.8;95;M;7000
210.000 kr.;2021;5300;2021-08-25;Benzin;22.8;95;M;7000
224.900 kr.;2021;8500;2021-06-21;Benzin;21.6;95;A;6715
169.900 kr.;2019;27000;2019-06-26;Benzin;23.9;95;M;7160
129.800 kr.;2016;57000;2016-05-31;Benzin;21.3;90;M;4200
169.900 kr.;2018;74000;2018-01-30;Benzin;21.7;95;A;9640
269.900 kr.;2020;29000;2020-09-10;Benzin;19;200;A;8600
134.500 kr.;2014;126500;2013-11-11;Benzin;13.3;220;M;6950
349.900 kr.;2022;8000;2022-06-03;Benzin;17.5;207;A;4700
209.900 kr.;2018;73000;2018-05-25;Benzin;21.7;95;A;3520
27.990 kr.;2006;235000;2006-02-23;Benzin;15.5;75;M;2730
7.900 kr.;2002;280000;2002-10-16;Benzin;15.5;75;M;6000
249.800 kr.;2018;72000;2018-08-15;Benzin;16.9;200;A;6760
199.900 kr.;2019;59000;2018-09-17;Benzin;23.4;95;A;2605
169.900 kr.;2019;43000;2018-09-17;Benzin;23.4;115;M;4000
79.900 kr.;2011;130000;2011-05-09;Diesel;29.4;75;M;7000
199.800 kr.;2019;38000;2019-07-01;Benzin;23.4;95;A;3400
124.900 kr.;2015;133000;2015-08-27;Diesel;28.6;90;A;2610
364.900 kr.;2022;9000;2022-04-27;Benzin;17.5;207;A;5200
132.900 kr.;2017;139000;2017-05-03;Benzin;23.3;95;A;3660
230.000 kr.;2021;19000;2021-06-29;Benzin;21.2;110;A;4621
239.900 kr.;2019;62000;2019-03-18;Benzin;21.6;150;A;5200
245.000 kr.;2018;111000;2018-02-27;Benzin;16.9;200;A;4621
154.900 kr.;2016;67000;2015-09-23;Benzin;20.8;150;M;4684
199.900 kr.;2022;18000;2022-01-03;Benzin;21.6;80;M;9440
