price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
69.900 kr.;2012;59000;2011-06-07;Benzin;17.5;96;M;5750
169.900 kr.;2021;10600;2021-02-03;Benzin;24.2;125;M;2200
119.900 kr.;2015;29980;2015-06-25;Benzin;20.4;100;A;8240
169.900 kr.;2018;45000;2018-11-20;Benzin;22.2;140;M;6400
169.900 kr.;2019;82800;2019-09-30;Benzin;22.4;140;M;6600
149.900 kr.;2018;81000;2018-06-04;Benzin;20;100;M;7700
219.900 kr.;2022;6000;2022-02-28;Benzin;24.2;125;M;6740
34.900 kr.;2012;211000;2012-10-22;Benzin;18.5;60;M;4700
209.000 kr.;2021;12760;2021-09-28;Benzin;23.7;125;M;8660
249.900 kr.;2019;47000;2019-01-18;Benzin;18.3;200;M;4600
209.900 kr.;2019;45000;2019-06-28;Benzin;19.3;100;A;4600
132.000 kr.;2019;116000;2019-03-27;Benzin;22.9;125;M;8660
214.800 kr.;2018;88000;2018-09-14;Benzin;18.3;200;M;2860
87.400 kr.;2016;144000;2016-01-26;Benzin;23.3;100;M;4700
99.900 kr.;2016;29000;2016-09-09;Diesel;31.3;95;M;7000
249.800 kr.;2019;47000;2019-06-14;Benzin;18.3;200;M;2500
99.900 kr.;2015;96000;2016-06-28;Benzin;23.3;100;M;6100
159.700 kr.;2018;91000;2018-02-13;Benzin;19.6;140;M;8250
209.900 kr.;2022;2000;2022-03-28;Benzin;24.2;125;M;5500
174.900 kr.;2020;30000;2020-09-30;Diesel;31.4;85;M;4760
237.900 kr.;2022;100;2022-10-24;Benzin;24.2;125;M;6705
69.900 kr.;2012;107000;2012-04-30;Benzin;17.9;82;M;4293
169.900 kr.;2019;14000;2019-01-18;Benzin;22.9;100;M;4760
119.900 kr.;2017;112000;2017-03-29;Benzin;23.3;125;M;8520
219.900 kr.;2022;4000;2022-02-07;Benzin;24.2;125;M;2500
109.900 kr.;2015;72000;2015-12-18;Benzin;20.4;100;A;6740
79.900 kr.;2016;78000;2016-08-10;Benzin;23.3;65;M;8762
149.900 kr.;2018;73500;2018-08-28;Benzin;23.3;125;M;8940
209.900 kr.;2022;0;2022-09-28;Benzin;24.2;125;M;2860
209.900 kr.;2022;3;2022-10-27;Benzin;24.2;125;M;2860
127.000 kr.;2019;46000;2019-12-30;Benzin;21.6;85;M;8660
209.900 kr.;2022;4000;2022-09-28;Benzin;24.2;125;M;2860
144.900 kr.;2018;59000;2018-07-31;Benzin;22.9;100;M;7000
259.900 kr.;2020;60000;2020-02-21;Benzin;18.3;200;M;6705
63.900 kr.;2012;101000;2012-11-01;Benzin;17.5;96;M;4000
162.500 kr.;2020;28000;2020-08-31;Diesel;31.4;85;M;4200
149.900 kr.;2019;63000;2019-09-30;Benzin;23.4;125;M;8210
189.600 kr.;2022;10000;2022-03-14;Benzin;24.2;125;M;3460
179.900 kr.;2018;9000;2018-11-16;Benzin;21.6;140;M;6100
119.500 kr.;2015;10000;2015-07-31;Benzin;23.3;125;M;9500
159.800 kr.;2018;46000;2018-09-28;Benzin;22;125;M;3460
174.900 kr.;2020;36000;2020-01-20;Benzin;27.5;125;M;4600
74.900 kr.;2015;159000;2014-09-29;Benzin;23.3;100;M;5750
249.500 kr.;2022;100;2022-10-10;Benzin;24.2;125;M;6950
187.900 kr.;2018;36000;2019-01-21;Benzin;21.6;140;M;6000
89.500 kr.;2016;146000;2016-06-15;Benzin;23.3;125;M;4700
159.700 kr.;2019;71000;2019-06-20;Benzin;22.4;140;M;9500
147.900 kr.;2018;98000;2018-03-05;Benzin;22.2;140;M;4320
79.900 kr.;2014;131000;2014-01-29;Benzin;23.3;100;M;7100
121.500 kr.;2015;79000;2015-04-30;Benzin;20.4;100;A;8361
194.900 kr.;2021;21500;2020-12-16;Benzin;27.5;125;M;9400
79.900 kr.;2015;121000;2014-11-21;Benzin;23.3;100;M;7000
104.900 kr.;2018;106000;2018-01-11;Diesel;28.6;85;M;6800
209.900 kr.;2021;10000;2021-12-23;Benzin;24.2;155;M;2500
99.900 kr.;2015;67000;2014-08-29;Benzin;23.3;125;M;3520
204.900 kr.;2018;105000;2018-08-15;Benzin;18.3;200;M;2860
139.900 kr.;2018;62000;2017-12-06;Benzin;23.3;100;M;2600
74.500 kr.;2014;140000;2014-09-29;Benzin;23.3;125;M;4700
229.900 kr.;2022;3500;2022-02-23;Benzin;24.2;125;M;6705
19.900 kr.;2006;163000;2006-09-05;Benzin;16.4;70;M;2730
214.900 kr.;2022;200;2022-09-15;Benzin;24.2;125;M;7000
179.900 kr.;2019;42000;2019-11-04;Benzin;21.6;140;M;8270
42.900 kr.;2014;285000;2014-03-28;Diesel;30.3;95;M;8830
94.800 kr.;2015;86000;2015-07-30;Benzin;23.3;100;M;6760
189.900 kr.;2022;10000;2022-02-10;Benzin;24.2;125;M;7500
69.900 kr.;2015;149000;2015-03-27;Benzin;23.3;65;M;2600
169.900 kr.;2018;48000;2017-11-30;Benzin;22.2;140;M;2750
89.900 kr.;2016;75000;2016-05-18;Benzin;23.3;100;M;4300
220.000 kr.;2022;3000;2022-09-22;Benzin;24.2;125;M;8240
198.900 kr.;2020;44000;2020-10-14;Benzin;27.5;155;M;9440
86.900 kr.;2015;137000;2015-11-17;Benzin;23.3;100;M;4500
