price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
329.900 kr.;2020;19000;2020-04-01;Plug-in hybrid Benzin;36.5;204;A;5471
319.900 kr.;2020;48000;2019-09-17;Benzin;17.2;190;A;3400
139.500 kr.;2015;162000;2015-05-18;Diesel;26.3;110;M;4200
349.900 kr.;2017;97500;2017-08-30;Benzin;19.6;150;A;8920
259.800 kr.;2017;88000;2016-12-16;Benzin;17.9;190;A;4700
279.800 kr.;2018;41000;2018-08-02;Benzin;20;150;A;3400
419.900 kr.;2021;14000;2021-10-06;Plug-in hybrid Benzin;42.4;204;A;5200
299.900 kr.;2019;40000;2019-01-09;Benzin;21.6;150;A;2620
229.900 kr.;2015;105000;2014-11-12;Benzin;21.7;150;A;4621
99.900 kr.;2014;227000;2014-08-01;Diesel;26.3;105;M;8940
154.900 kr.;2015;208000;2015-04-13;Diesel;22.7;150;A;7000
154.900 kr.;2015;157000;2015-02-12;Diesel;24.4;150;M;8653
389.800 kr.;2019;37000;2019-04-17;Benzin;21.1;150;A;8920
179.900 kr.;2016;213000;2016-01-21;Diesel;22.2;150;A;7000
258.000 kr.;2018;90500;2018-02-26;Plug-in hybrid Benzin;35.1;204;A;4540
209.800 kr.;2016;79000;2015-10-01;Benzin;22.2;150;A;4700
379.000 kr.;2019;51000;2019-06-04;Benzin;21.1;150;A;4540
69.900 kr.;2011;194000;2011-03-11;Diesel;22.7;136;M;3400
359.900 kr.;2022;11000;2021-12-02;Plug-in hybrid Benzin;46.9;204;A;6715
149.500 kr.;2015;191000;2014-07-30;Diesel;22.7;150;A;4200
268.900 kr.;2017;165000;2017-02-23;Benzin;17.5;190;A;2650
464.900 kr.;2022;11000;2022-03-28;Plug-in hybrid Benzin;42.5;245;A;2770
293.900 kr.;2019;73000;2019-07-26;Benzin;18;190;A;4600
309.900 kr.;2019;59000;2019-03-28;Benzin;21.6;150;A;4600
269.800 kr.;2018;66000;2017-11-22;Plug-in hybrid Benzin;33.8;204;A;7190
244.800 kr.;2018;99000;2018-04-24;Diesel;22.7;150;A;3660
179.900 kr.;2015;223000;2015-10-12;Plug-in hybrid Benzin;32.7;204;A;7000
144.900 kr.;2014;150000;2014-02-17;Diesel;24.4;150;M;2605
77.900 kr.;2010;196000;2010-03-16;Diesel;23.8;105;M;2630
209.900 kr.;2016;52000;2016-06-02;Benzin;20;125;M;2800
259.800 kr.;2018;56000;2018-03-20;Plug-in hybrid Benzin;35.1;204;A;4700
279.900 kr.;2020;99000;2019-11-12;Diesel;25;150;A;8600
239.900 kr.;2015;97000;2014-05-09;Benzin;20;140;M;9000
99.900 kr.;2013;220000;2013-03-06;Diesel;23.8;105;M;2800
262.900 kr.;2018;72000;2018-08-01;Benzin;20;150;A;9400
129.800 kr.;2014;188000;2013-11-29;Diesel;26.3;105;M;4600
314.900 kr.;2020;45000;2019-11-22;Benzin;22;150;A;9640
204.900 kr.;2016;110000;2016-02-16;Plug-in hybrid Benzin;33.8;204;A;8520
319.800 kr.;2017;163000;2017-06-01;Benzin;20;150;A;4000
109.900 kr.;2011;183000;2011-11-30;Diesel;20.4;140;A;2650
159.900 kr.;2016;180000;2015-10-16;Benzin;21.7;150;M;3400
99.900 kr.;2015;302000;2014-07-24;Diesel;30.3;110;M;6400
239.900 kr.;2018;123000;2018-02-20;Benzin;20;150;A;7323
239.900 kr.;2018;50000;2017-11-14;Benzin;19.6;150;M;4200
69.800 kr.;2011;255000;2011-09-01;Diesel;22.7;140;M;5700
75.000 kr.;2013;202000;2012-12-01;Diesel;22.7;140;M;2700
354.900 kr.;2021;10000;2021-06-29;Plug-in hybrid Benzin;46.9;204;A;7100
109.900 kr.;2011;69184;2011-05-24;Benzin;17.2;125;M;3310
289.900 kr.;2020;90000;2020-01-09;Diesel;24.4;150;A;7160
199.900 kr.;2017;110000;2016-07-26;Diesel;23.8;150;M;7323
168.000 kr.;2014;242000;2014-08-01;Diesel;22.7;150;A;8000
314.900 kr.;2020;31000;2020-07-21;Plug-in hybrid Benzin;33.8;204;A;8700
104.000 kr.;2014;180000;2013-12-01;Diesel;26.3;105;M;1972
334.900 kr.;2020;9000;2020-07-15;Plug-in hybrid Benzin;33.8;204;A;8700
259.900 kr.;2020;37000;2020-04-30;Benzin;21.1;150;A;7160
269.780 kr.;2017;33000;2017-03-14;Plug-in hybrid Benzin;33.8;204;A;3400
349.700 kr.;2020;18000;2020-05-28;Plug-in hybrid Benzin;36.5;204;A;8250
238.000 kr.;2018;53500;2018-05-08;Plug-in hybrid Benzin;35.1;204;A;4540
399.900 kr.;2019;31000;2019-01-31;Benzin;19.7;150;M;2970
77.900 kr.;2010;188000;2010-04-14;Diesel;23.8;105;M;2630
99.000 kr.;2014;218000;2014-04-01;Diesel;23.8;150;M;2750
329.900 kr.;2020;43000;2020-02-04;Benzin;17.2;190;A;2800
184.500 kr.;2018;96000;2018-02-01;Diesel;20.4;184;A;9230
220.000 kr.;2018;81000;2018-01-01;Plug-in hybrid Benzin;35.1;204;A;4800
214.900 kr.;2019;72000;2018-11-09;Benzin;22.4;116;M;4700
284.900 kr.;2019;53000;2019-02-01;Benzin;18;190;A;8870
160.000 kr.;2016;147000;2015-10-01;Benzin;19.2;125;M;8450
114.900 kr.;2013;140000;2013-03-14;Diesel;26.3;105;M;7160
179.000 kr.;2004;76000;2004-04-01;Benzin;10.5;250;A;7100
124.900 kr.;2014;188000;2013-10-30;Diesel;23.8;150;M;6100
169.700 kr.;2015;120800;2014-07-14;Benzin;21.3;150;M;2600
324.900 kr.;2020;20700;2020-07-14;Plug-in hybrid Benzin;38.8;204;A;6000
45.000 kr.;2008;250000;2007-10-01;Diesel;16.9;170;A;9990
200.000 kr.;2017;160000;2016-11-07;Diesel;22.2;150;A;4621
214.900 kr.;2015;20500;2015-06-24;Benzin;21.3;150;M;8700
43.800 kr.;2011;296000;2010-11-24;Diesel;22.7;140;M;9310
99.800 kr.;2011;202000;2011-07-01;Diesel;22.7;140;M;4681
379.900 kr.;2019;22000;2019-03-27;Benzin;17.9;190;A;2970
279.900 kr.;2018;59000;2018-08-10;Plug-in hybrid Benzin;33.8;204;A;3400
199.900 kr.;2017;72000;2017-05-18;Plug-in hybrid Benzin;35.1;204;A;9310
239.900 kr.;2018;150000;2017-08-01;Benzin;17.9;190;A;4600
289.900 kr.;2019;32000;2019-07-23;Benzin;21.1;150;A;2770
142.500 kr.;2016;169000;2016-02-01;Diesel;25;150;M;8600
324.500 kr.;2020;12300;2020-06-22;Plug-in hybrid Benzin;38.8;204;A;6000
369.900 kr.;2021;50000;2021-04-29;Plug-in hybrid Benzin;42.4;204;A;8600
239.900 kr.;2018;34000;2018-04-05;Plug-in hybrid Benzin;35.1;204;A;6580
144.780 kr.;2013;168000;2013-06-10;Benzin;20.8;140;M;3400
279.900 kr.;2020;32000;2020-05-26;Plug-in hybrid Benzin;38.8;204;A;9000
279.900 kr.;2020;32000;2020-05-26;Plug-in hybrid Benzin;33.8;204;A;9000
349.900 kr.;2021;12000;2021-09-15;Plug-in hybrid Benzin;46.9;204;A;5200
49.900 kr.;2008;247000;2008-01-04;Diesel;20.4;105;M;2630
234.900 kr.;2020;28000;2019-10-24;Benzin;22;116;M;8800
189.900 kr.;2018;139500;2017-07-28;Diesel;25;116;M;4600
284.900 kr.;2017;44000;2017-09-13;Plug-in hybrid Benzin;33.8;204;A;4600
279.800 kr.;2020;31000;2020-05-19;Plug-in hybrid Benzin;38.8;204;A;7100
284.900 kr.;2020;33000;2020-05-13;Plug-in hybrid Benzin;38.8;204;A;7100
178.900 kr.;2018;132000;2017-11-01;Benzin;19.6;150;M;9200
284.900 kr.;2020;33000;2020-05-13;Plug-in hybrid Benzin;38.8;204;A;7100
179.900 kr.;2008;123000;2008-07-24;Benzin;13.7;160;M;4600
239.900 kr.;2017;62000;2017-07-18;Plug-in hybrid Benzin;33.8;204;A;7100
239.900 kr.;2018;39000;2017-07-28;Benzin;19.6;150;M;8500
84.300 kr.;2013;217000;2012-10-24;Diesel;22.7;140;M;4700
179.900 kr.;2015;78000;2014-10-06;Benzin;21.3;150;M;9800
164.900 kr.;2017;163000;2017-03-13;Diesel;27;110;M;3660
409.900 kr.;2022;19000;2021-12-20;Benzin;20.8;150;A;9000
313.900 kr.;2020;33000;2020-05-20;Plug-in hybrid Benzin;38.8;204;A;8600
369.900 kr.;2019;40000;2019-04-29;Benzin;17.7;190;A;2980
249.900 kr.;2018;46188;2018-04-05;Plug-in hybrid Benzin;35.1;204;A;8600
314.900 kr.;2020;33000;2020-02-24;Benzin;21.1;150;A;8600
369.900 kr.;2018;76192;2018-03-16;Benzin;19.6;150;A;2860
319.900 kr.;2018;45000;2018-04-27;Plug-in hybrid Benzin;33.8;204;A;3650
274.900 kr.;2018;83000;2018-05-02;Plug-in hybrid Benzin;35.1;204;A;3400
189.900 kr.;2017;96000;2016-12-01;Benzin;21.3;150;M;7160
269.900 kr.;2016;64000;2016-05-27;Benzin;20.8;150;M;9400
84.900 kr.;2012;238000;2012-05-24;Diesel;23.8;105;M;9800
299.900 kr.;2020;59000;2020-06-29;Benzin;21.1;150;A;7430
110.000 kr.;2006;122000;2006-06-01;Benzin;11.2;200;M;2900
119.500 kr.;2009;135000;2009-06-16;Diesel;18.5;140;A;6270
309.900 kr.;2019;19000;2019-07-31;Benzin;18;190;A;7160
69.900 kr.;2010;238000;2010-05-06;Diesel;23.3;105;A;3400
122.900 kr.;2014;148000;2014-02-01;Diesel;26.3;105;M;8200
425.000 kr.;2021;29000;2021-06-01;Plug-in hybrid Benzin;42.5;245;A;3490
154.900 kr.;2014;142000;2014-06-01;Diesel;25.6;105;A;7120
324.900 kr.;2020;21100;2020-07-21;Plug-in hybrid Benzin;38.8;204;A;6000
