price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
72.999 kr.;2017;129000;2017-06-01;Benzin;24.4;60;M
64.900 kr.;2014;112000;2014-03-01;Benzin;24.4;60;M
89.900 kr.;2016;45000;2015-07-01;Benzin;24.4;60;M
75.000 kr.;2014;70000;2013-09-01;Benzin;21.3;75;M
99.000 kr.;2018;69000;2018-01-01;Benzin;22.7;60;M
104.700 kr.;2017;23000;2016-11-18;Benzin;24.4;60;M
62.900 kr.;2013;116000;2012-09-14;Benzin;22.2;60;M
104.900 kr.;2018;42000;2018-07-31;Benzin;24.4;60;M
69.900 kr.;2014;143000;2014-03-28;Benzin;24.4;60;M
89.800 kr.;2017;82000;2016-10-01;Benzin;24.4;60;M
107.900 kr.;2018;60000;2018-06-06;Benzin;24.4;60;M
59.900 kr.;2013;99000;2012-10-24;Benzin;23.8;75;M
179.900 kr.;2019;55000;2018-07-01;Benzin;20.8;115;M
59.900 kr.;2014;120000;2014-05-13;Benzin;24.4;60;M
59.700 kr.;2013;136000;2012-08-27;Benzin;24.4;60;M
62.900 kr.;2014;135000;2014-04-01;Benzin;24.4;60;M
74.900 kr.;2017;137;2016-08-23;Benzin;24.4;60;M
129.800 kr.;2017;103000;2017-04-20;Benzin;22.7;90;M
67.990 kr.;2013;64000;2013-01-18;Benzin;24.4;60;M
69.900 kr.;2016;94000;2015-10-19;Benzin;24.4;60;M
49.900 kr.;2013;200000;2012-10-26;Benzin;24.4;60;M
59.900 kr.;2014;124000;2013-08-01;Benzin;24.4;60;M
63.000 kr.;2015;79000;2014-10-01;Benzin;24.4;60;M
64.500 kr.;2012;142000;2012-05-31;Benzin;23.8;75;M
124.900 kr.;2020;23800;2020-09-29;Benzin;25;60;M
69.900 kr.;2016;86000;2015-09-24;Benzin;24.4;60;M
64.900 kr.;2016;109000;2015-12-28;Benzin;24.4;60;M
129.500 kr.;2020;21000;2020-07-06;Benzin;25;60;M
51.900 kr.;2014;153000;2013-12-01;Benzin;24.4;60;M
64.800 kr.;2014;78000;2013-10-21;Benzin;24.4;60;M
104.900 kr.;2018;75000;2018-07-16;Benzin;24.4;60;M
79.900 kr.;2014;61000;2014-01-15;Benzin;24.4;60;M
89.900 kr.;2016;78000;2015-12-23;Benzin;24.4;60;M
89.900 kr.;2018;102000;2018-01-01;Benzin;24.4;60;M
169.900 kr.;2019;49000;2019-12-18;Benzin;22.9;115;M
57.500 kr.;2014;121500;2014-01-29;Benzin;24.4;60;M
104.900 kr.;2018;59000;2018-06-22;Benzin;24.4;60;M
68.000 kr.;2013;46000;2012-12-13;Benzin;24.4;60;M
69.900 kr.;2014;100000;2014-01-27;Benzin;24.4;60;M
122.800 kr.;2019;35000;2019-06-20;Benzin;26.2;60;M
59.900 kr.;2014;143000;2014-10-08;Benzin;24.4;60;M
56.900 kr.;2013;158000;2012-07-10;Benzin;23.8;75;M
97.900 kr.;2016;111000;2016-01-27;Benzin;24.4;75;A
64.900 kr.;2012;108000;2012-05-29;Benzin;23.8;75;M
47.800 kr.;2013;182000;2013-03-15;Benzin;24.4;60;M
84.900 kr.;2018;121000;2017-11-24;Benzin;24.4;60;M
119.800 kr.;2020;52000;2019-10-18;Benzin;25;60;M
104.800 kr.;2018;58000;2018-08-31;Benzin;24.4;60;M
99.900 kr.;2017;92000;2017-09-01;Benzin;22.7;90;M
119.900 kr.;2019;50000;2019-07-08;Benzin;26.2;60;M
54.900 kr.;2015;150000;2015-10-09;Benzin;24.4;60;M
59.800 kr.;2015;132000;2015-05-01;Benzin;24.4;60;M
117.500 kr.;2019;65000;2019-04-25;Benzin;26.2;60;M
62.800 kr.;2013;91000;2012-12-17;Benzin;23.8;75;M
134.900 kr.;2020;14000;2019-09-25;Benzin;25;60;M
104.000 kr.;2020;22000;2019-10-01;Benzin;25;60;M
109.700 kr.;2017;117000;2017-03-16;Benzin;22.7;90;M
109.900 kr.;2017;28000;2017-12-11;Benzin;24.4;60;M
119.900 kr.;2019;58000;2019-07-30;Benzin;26.2;60;M
69.800 kr.;2015;153000;2015-04-28;Benzin;23.8;75;M
79.995 kr.;2016;53000;2016-01-14;Benzin;24.4;60;M
82.500 kr.;2018;131000;2018-04-18;Benzin;24.4;60;M
69.000 kr.;2016;86000;2015-09-01;Benzin;24.4;60;M
59.000 kr.;2015;123000;2015-03-01;Benzin;22.2;60;M
74.800 kr.;2016;47000;2016-04-13;Benzin;24.4;60;M
70.900 kr.;2016;111000;2016-05-01;Benzin;24.4;60;M
124.900 kr.;2020;49000;2020-03-24;Benzin;25;60;M
109.900 kr.;2019;61000;2018-10-04;Benzin;26.2;60;M
69.900 kr.;2016;126000;2015-09-29;Benzin;24.4;60;M
109.900 kr.;2018;67500;2017-11-30;Benzin;24.4;60;M
72.900 kr.;2015;103000;2015-03-04;Benzin;23.8;75;M
119.500 kr.;2020;37000;2019-11-05;Benzin;25;60;M
89.900 kr.;2017;59000;2016-09-20;Benzin;24.4;60;M
84.900 kr.;2017;93000;2016-09-29;Benzin;24.4;60;M
109.900 kr.;2017;28000;2017-11-10;Benzin;24.4;60;M
72.000 kr.;2015;79000;2014-08-01;Benzin;24.4;60;M
62.000 kr.;2014;132000;2014-03-01;Benzin;22.2;60;M
99.900 kr.;2017;83000;2017-01-11;Benzin;24.4;60;M
109.800 kr.;2017;50000;2017-04-24;Benzin;22.7;90;M
49.000 kr.;2013;191000;2012-12-01;Benzin;24.4;60;M
74.900 kr.;2015;119000;2015-07-16;Benzin;24.4;60;M
57.900 kr.;2015;165000;2014-10-24;Benzin;24.4;60;M
94.700 kr.;2015;47000;2015-06-23;Benzin;24.4;75;A
64.800 kr.;2013;126000;2013-06-07;Benzin;23.8;75;M
49.800 kr.;2013;183000;2012-09-12;Benzin;22.2;60;M
59.999 kr.;2014;163000;2014-02-27;Benzin;24.4;60;M
89.900 kr.;2017;49000;2017-10-31;Benzin;24.4;60;M
109.900 kr.;2017;25000;2017-11-16;Benzin;24.4;60;M
119.700 kr.;2019;12000;2019-07-19;Benzin;26.2;60;M
52.700 kr.;2017;168000;2016-11-17;Benzin;24.4;60;M
47.500 kr.;2013;139000;2012-11-01;Benzin;23.8;75;M
69.900 kr.;2016;165000;2016-06-01;Benzin;24.4;60;M
79.900 kr.;2016;115000;2016-04-27;Benzin;24.4;60;M
79.000 kr.;2016;64000;2015-09-01;Benzin;24.4;60;M
95.000 kr.;2019;37000;2019-01-01;Benzin;26.2;60;M
72.990 kr.;2017;129000;2016-08-26;Benzin;24.4;60;M
69.900 kr.;2015;62000;2015-06-09;Benzin;23.8;75;M
118.900 kr.;2017;63000;2017-02-15;Benzin;22.7;90;M
54.900 kr.;2015;127000;2015-03-30;Benzin;24.4;60;M
89.900 kr.;2018;110000;2017-12-19;Benzin;24.4;75;M
69.800 kr.;2016;66000;2016-03-30;Benzin;24.4;60;M
128.800 kr.;2020;36000;2020-02-28;Benzin;25;60;M
66.900 kr.;2015;159000;2014-10-15;Benzin;24.4;60;M
62.900 kr.;2015;101000;2015-08-07;Benzin;24.4;60;M
74.900 kr.;2019;107000;2019-01-02;Benzin;23.8;60;M
89.900 kr.;2012;75000;2012-12-03;Benzin;22.2;75;A
119.900 kr.;2019;21000;2019-11-18;Benzin;23.8;60;M
66.900 kr.;2012;85000;2012-10-04;Benzin;23.8;75;M
54.000 kr.;2013;118000;2012-09-27;Benzin;22.2;60;M
69.500 kr.;2013;91000;2013-05-27;Benzin;23.8;75;M
109.900 kr.;2020;61000;2019-10-28;Benzin;25;60;M
49.700 kr.;2014;195000;2014-02-26;Benzin;24.4;60;M
74.900 kr.;2016;98000;2015-07-23;Benzin;24.4;60;M
63.000 kr.;2012;142000;2012-05-01;Benzin;23.8;75;M
